周邓纪念馆	mcxq
空港经济区	pixa
广播学院	orib
安德里北街	ptjt
安定门	ppuy
安华桥	pwst
安河桥北	pisu
奥林匹克公园	tsal
奥林匹克中心	tsan
奥林匹克公园	tsal
奥林匹克中心	tsan
奥体中心	twkn
广阳城	obfd
安贞门	phuy
八宝山	wpmm
白石桥南	rdsf
白石桥南花园桥	rdss
白堆子	rfbb
巴沟	cniq
北宫门	upuy
北海北	uiux
北京大学东门	uydu
北京南站	uyfu
北京西站	uysu
八角游乐园	wqil
八角游乐园	wqil
北京站	uyuh
八里桥	wjst
白石桥南	rdsf
白石桥南花园桥	rdss
北土城	uffd
北土城东路	uffk
北新桥	uust
北苑	uxaq
北苑路北	uaku
北苑西站	uasu
白堆子	rfbb
长椿街	tstf
长春桥	tdst
车道沟	luiq
草房	ajyn
车公庄	lwof
崔各庄	mtof
车公庄西	lwos
传媒大学	wvdi
昌平太平庄	jgdo
草桥	ajst
次渠	uqia
磁器口	dkkk
次渠南	uifm
菜市口	aykk
慈寿寺	udff
成寿寺	ddff
崇文门	myuy
长阳	tabj
常营	ipap
朝阳门	fbuy
大葆台	dack
东单	aiul
东单	aiul
东大桥	adst
石帆胜丰	dmed
大红门	dxuy
大红门	dxuy
大井	ddfj
褡裢坡	ppfh
石榴庄	dsof
石门	dguy
东单	aiul
东四	ailh
东四灯市口	alok
灯市口	oykk
东四十条	alft
稻田	tell
大屯东站	dgau
大屯路东	dgka
大望	ddyn
大望路	dykh
动物园	ftlf
大瓦窑	dgpw
大屯东站	dgau
大屯路东	dgka
东直门	afuy
四惠	lhgj
大钟寺	dqff
俸伯	wdwr
阜成门	wduy
丰台东大街	dcat
丰台科技园	dctl
丰台南路	dcfk
丰台站	dcuh
复兴门	tiuy
分钟寺	wqff
高碑店	ydoh
广播学院	orib
古城路	dfkh
郭公庄	ywof
国家图书馆	lplq
鼓楼大街	fsdt
国贸	lgqy
高米店北	yoou
高米店南	yoof
光熙门	iauy
果园	jslf
广阳城	obfd
公益西桥	wuss
管庄	tpof
国展	lgna
公主坟	wyfy
郭庄子	yobb
华城	wxfd
黄村火车站	asou
黄村火车站	asou
黄村西大街	asst
海淀黄庄	iiao
海淀五路居	iign
呼家楼	kpso
回龙观	ldcm
回龙观东大街	ldct
花梨坎	atfq
和平里北街	tgjt
和平门	tguy
和平西桥	tgss
黄渠	amia
火器营	okap
后沙峪	rimw
惠新西街北口	gusk
惠新西街南口	gusk
惠新西桥	guss
霍营	fwap
车道沟	luiq
健德门	wtuy
旧宫	hjpk
建国门	vluy
车公庄	lwof
车公庄西	lwos
经海路	xikh
纪家庙	xpom
九棵树	vssc
角门东	quai
角门西	qusg
劲松	casw
军事博物馆	pgfq
积水潭	tiis
积水潭天宫院	tiib
金台路	qckh
金台夕照	qcqj
科怡路	tnkh
篱笆房	ttyn
林萃桥	sast
柳芳	sqay
临河里	jijf
莲花桥	aast
灵境胡同	vfdm
刘家窑	yppw
六里桥	yjst
六里桥东	yjsa
亮马桥	ycst
立水桥	uist
立水桥北苑	uisa
立水桥南	uisf
立水桥南站	uisu
良乡大学城	yxdf
良乡大学城北	yxdu
良乡大学城西	yxds
良乡南关	yxfu
梨园	tjlf
龙泽	dxic
牡丹园	tmlf
马家堡	cpwk
马家堡	cpwk
马泉营	crap
万寿路	gdkh
木樨地	ssfb
万源街	gitf
南法信	fiwy
南锣鼓巷	fqfa
南锣鼓巷	fqfa
南礼士路	fpfk
南邵	fmvk
泥洼	inif
农业展览馆	ponq
平安里	gpjf
苹果园	ajlf
蒲黄榆	aasw
潘家园	iplf
七里庄	ajof
前门	ueuy
青年路	grkh
清源路	iikh
荣昌东街	ajat
荣京东街	ayat
人民大学	wndi
上地	hgfb
石帆胜丰	dmed
四惠	lhgj
孙河	biis
沙河	iiis
四惠东	lgai
四惠东	lgai
西直门	sfuy
沙河高教园	iiyl
首经贸	uxqy
宋家庄	ppof
宋家庄站	ppou
十里堡	fjwk
森林公园	sswl
森林公园南门	sswu
十里河	fjis
十里堡	fjwk
石榴庄	dsof
石门	dguy
生命科学园	twtl
双桥	ccst
生物医药基地	ttaf
顺义	kdyr
芍药居	aand
三元桥	dfst
苏庄	aeof
苏州街	aytf
天安门东	gpua
天安门西	gpus
天宫院	gpbp
团结湖	lxid
同济南路	mifk
土桥	ffst
陶然亭	bqyk
天坛东门	gfau
天通苑	gcaq
天通苑北	gcau
天通苑北站	gcau
天通苑南	gcaf
太阳宫	dbpk
通州北苑	cyua
五道口	gukk
王府井	gofj
魏公村	twsf
望京	ynyk
望京西	yysg
五棵松	gssw
万寿路	gdkh
万源街	gitf
西单	sgul
肖村	iesf
西单	sgul
西钓鱼台	sqqc
西二旗	sfyt
新宫	uspk
西红门	sxuy
小红门	ixuy
西红门	sxuy
小红门	ixuy
西局	sgnn
新街口	utkk
西单	sgul
西四	sglh
西土城	sffd
宣武门	pfuy
西小口	sikk
西苑	sgaq
西直门	sfuy
西直门	sfuy
永安里	ypjf
园博园	lflf
雍和宫	ytpk
义和庄	ytof
圆明园	ljlf
玉泉路	grkh
陶然亭	bqyk
永泰庄	ydof
育新	ycus
亦庄桥	yost
亦庄文化园	yoyl
长椿街	tstf
知春里	tdjf
知春路	tdkh
长春桥	tdst
中关村	kusf
张郭庄	xyof
传媒大学	wvdi
朱辛庄	ruof
枣园	gmlf
长阳	tabj
朝阳门	fbuy
张自忠路	xtkk
